Usługa,Koszt,Ilość,Wybrano,Dostępne w CRM
LIVESPACE CRM,240 zł/user,users,240,Icons8_flat_ok.svg.png
LEJKI SPRZEDAŻOWE CLICKFUNNELS,400 zł,none,400,Icons8_flat_ok.svg.png
Newsletter,150 zł,emails,150,Icons8_flat_ok.svg.png
Kalendarz do spotkań Callendly,80 zł,none,80,Icons8_flat_ok.svg.png
Automatyzacja Zapier,125 zł,none,125,Icons8_flat_ok.svg.png
Planer postów NapoleonCat,572 zł,profiles,572,Icons8_flat_ok.svg.png
Narzędzie do ankiet Webankieta,199 zł,records,199,Icons8_flat_ok.svg.png
Narzędzie do faktur Fakturownia,20 zł,users,20,Icons8_flat_ok.svg.png
E-podpis Docusign,60 zł,users,60,Icons8_flat_ok.svg.png
VOIP Ringostat,200 zł,users,200,Icons8_flat_ok.svg.png
SMS SMS API,50 zł,sms,50,Icons8_flat_ok.svg.png
Kursy online Webtolearn,100 zł,none,100,Icons8_flat_ok.svg.png
Client Portal Circle,400 zł,none,400,Icons8_flat_ok.svg.png
Zarządzanie reputacją Birdeye,200 zł,none,200,Icons8_flat_ok.svg.png
Livechat,160 zł,none,160,Icons8_flat_ok.svg.png